name,url,price,rating,review_count,image
"Dell G15 5511 Gaming Laptop Intel I5-11260H 16Gb, 512Gb, Nvidia RTX 3050 (4Gb GDDR6) Windows 11+MSO'21, 15.6""(39.62Cms) FHD WVA AG 250 Nits 120Hz, Orange Backlit Kb, (D560824WIN9B, 2.65Kg) ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjY3NzYyMjk2NjcxMjEzOjE2NzYwMTc0MDU6c3BfbXRmOjIwMTEwNDYyOTY0ODk4OjowOjo&url=%2FDell-I5-11260H-39-62Cms-Backlit-D560824WIN9B%2Fdp%2FB09XX2D931%2Fref%3Dsr_1_44_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017405%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹67,790",3.8 out of 5 stars,152,https://m.media-amazon.com/images/I/61IT5rBe-2L._AC_UY218_.jpg
"HP 15s, AMD Ryzen 3 3250U, 15.6 inch(39.6cm) HD Laptop(8GB RAM/256 GB SSD/AMD Radeon Graphics/Win 11/MSO/Dual Speakers) 15s-er1501AU ",https://www.amazon.in//HP-39-6cm-Graphics-Speakers-15s-er1501AU/dp/B0BN1SMM83/ref=sr_1_45?keywords=HP+Laptop&qid=1676017405&sr=8-45,"₹28,990",3.5 out of 5 stars,10,https://m.media-amazon.com/images/I/816lVSH7q9L._AC_UY218_.jpg
HP 245 G8 3S7L2PA Notebook Business Laptop 14 Inch HD ( AMD Ryzen 3- 3250 /4 GB RAM / 1TB HDD / Windows 11 Home) 1 Year Onsite Brand Warranty ,https://www.amazon.in//HP-245-Notebook-Business-Warranty/dp/B0BM45QW4L/ref=sr_1_46?keywords=HP+Laptop&qid=1676017405&sr=8-46,"₹24,990",3.2 out of 5 stars,123,https://m.media-amazon.com/images/I/71b8lYXqorL._AC_UY218_.jpg
"(Renewed) HP ProBook Intel 6th Gen Core i5 14 inches FHD Screen Laptop (8GB RAM, 256GB SSD, HD Graphics, Windows 11 (Upgraded), MS Office, Black, Slim) ",https://www.amazon.in//Renewed-HP-ProBook-Graphics-Upgraded/dp/B09NGMBZGB/ref=sr_1_47?keywords=HP+Laptop&qid=1676017405&sr=8-47,"₹17,650",3.1 out of 5 stars,125,https://m.media-amazon.com/images/I/31UOKpF7iQL._AC_UY218_.jpg
"(Renewed) HP Intel 6th Gen Core i5-6267U 14.5-Inch (36.83 cms) HD (1366 X 768) MP Laptop (16 GB/256 GB SSD/Windows 10 Pro/MS Office 2019 /Intel/Silver/2.20 Kg), 840 G3 ",https://www.amazon.in//Renewed-HP-i5-6267U-14-5-Inch-840/dp/B091N6GBHH/ref=sr_1_48?keywords=HP+Laptop&qid=1676017405&sr=8-48,"₹20,499",3.4 out of 5 stars,30,https://m.media-amazon.com/images/I/61NQ1VKjcHL._AC_UY218_.jpg
"HP 15s, 11th Gen Intel Core i3-1115G4 15.6 inch(39.6cm) FHD Laptop(8GB RAM/256 GB SSD/Intel UHD Graphics/Win 11/Alexa Built-in/Dual Speakers/MSO) 15s-fq2670TU ",https://www.amazon.in//HP-i3-1115G4-Graphics-Speakers-15s-fq2670TU/dp/B0BK4QV8PY/ref=sr_1_49?keywords=HP+Laptop&qid=1676017405&sr=8-49,"₹37,390",,,https://m.media-amazon.com/images/I/91rbkXFZlwL._AC_UY218_.jpg
"HP Pavilion 14 12th Gen Intel Core i5 8GB RAM/512GB SSD 14 inch(35.6cm) IPS Micro-Edge FHD Laptop/Intel Iris Xe Graphics/B&O/Win 11/Alexa Built-in/Backlit KB/MSO 2021/Natural Silver, 14-dv2053TU ",https://www.amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2053TU/dp/B0B1MDHJCC/ref=sr_1_50?keywords=HP+Laptop&qid=1676017405&sr=8-50,"₹62,499",4.1 out of 5 stars,243,https://m.media-amazon.com/images/I/81q6TId9ebL._AC_UY218_.jpg
"HP 250 G8 Laptop (11th Gen Intel Core i3-11th Gen /8GB DDR4 Ram / 512GB SSD/Windows 11/39.62 cm (15.6 inch) HD/Intel UHD Graphics) 6X4B3PA (Dark Ash,1.74 kg) ",https://www.amazon.in//HP-i3-11th-Windows-Graphics-6X4B3PA/dp/B0BM6CRHGC/ref=sr_1_51?keywords=HP+Laptop&qid=1676017405&sr=8-51,"₹35,490",3.5 out of 5 stars,5,https://m.media-amazon.com/images/I/71b8lYXqorL._AC_UY218_.jpg
"HP 15s 11th Gen Intel Core i3 15.6 inches(39cm) Laptop (8GB RAM/512GB SSD , HD,Anti-Glare Display/UHD Graphics/Windows 11 Home/Alexa-Built in/MS Office/Natural Silver/1.75 Kg,-15s-dy3501TU) ",https://www.amazon.in//HP-Anti-Glare-Graphics-Alexa-Built-15s-dy3501TU/dp/B09P1PYGX5/ref=sr_1_52_mod_primary_new?keywords=HP+Laptop&qid=1676017405&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-52,"₹42,400",4.3 out of 5 stars,438,https://m.media-amazon.com/images/I/81Ln6w1hqtL._AC_UY218_.jpg
Acer Aspire Vero Green Thin and Light Laptop Intel Core i5 11th Gen ( Windows 11 Home/MS Office/8 GB/512 GB SSD/ Fingerprint Reader/ Backlit KB) AV15-51 with 39.6 cm (15.6 inch) with FHD IPS Display ,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjY3NzYyMjk2NjcxMjEzOjE2NzYwMTc0MDU6c3BfYnRmOjIwMDc5ODE0MTE3Njk4OjowOjo&url=%2FAcer-AV15-51-5155-i5-1155G7-Materials-Fingerprint%2Fdp%2FB09MLQPYBF%2Fref%3Dsr_1_53_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017405%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹49,912",4.1 out of 5 stars,45,https://m.media-amazon.com/images/I/71lMWq4-5qL._AC_UY218_.jpg
"Acer One 14 Business Laptop AMD Athlon 3045 B Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display (Black) ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjY3NzYyMjk2NjcxMjEzOjE2NzYwMTc0MDU6c3BfYnRmOjIwMTE4ODAzMzA1Mzk4OjowOjo&url=%2FAcer-Business-Processor-Graphics-Windows%2Fdp%2FB0BMQBX6SZ%2Fref%3Dsr_1_54_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017405%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹24,990",3.5 out of 5 stars,76,https://m.media-amazon.com/images/I/71E6kyAephL._AC_UY218_.jpg
"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/ Windows 11 Home/ Gen4 1TB SSD /Office 365 / Black) ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODYzODA5NzMyOTY4MTcxOjE2NzYwMTc0MDg6c3BfYXRmX25leHQ6MjAwOTUwNDQ0NTEzOTg6OjA6Og&url=%2FGIGABYTE-i7-12700H-3070Ti-Graphics-Windows%2Fdp%2FB0B7JT5FMP%2Fref%3Dsr_1_49_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017408%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹1,84,900",5.0 out of 5 stars,1,https://m.media-amazon.com/images/I/61RV0SmNqsL._AC_UY218_.jpg
"ASUS Vivobook S 14 Flip (2022), 14-inch (35.56 cms) FHD+ 16:10 Touch, AMD Ryzen 5 5600H, 2-in-1 Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.5 kg), TN3402QA-LZ511WS ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODYzODA5NzMyOTY4MTcxOjE2NzYwMTc0MDg6c3BfYXRmX25leHQ6MjAwOTg3NTEwNjA5OTg6OjA6Og&url=%2FASUS-Vivobook-Flip-14-inch-35-56%2Fdp%2FB0B4WGCVHM%2Fref%3Dsr_1_50_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017408%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹72,990",3.8 out of 5 stars,7,https://m.media-amazon.com/images/I/71c8-VKpcxL._AC_UY218_.jpg
"HP 247 G8 Laptop (AMD Athlon P-3045B HD/ 14 inches(35.5cm) HD /8GB RAM DDR4 /1TB HDD /Windows 11 Home/ W11 SL) One Year Warranty, Black, 67U77PA ",https://www.amazon.in//HP-247-G8-Warranty-67U77PA/dp/B09RMP6MM7/ref=sr_1_51?keywords=HP+Laptop&qid=1676017408&sr=8-51,"₹31,327",3.6 out of 5 stars,219,https://m.media-amazon.com/images/I/71Ff0Ap49HS._AC_UY218_.jpg
HP Intel Business Laptop 250 G8 Core i5 11th Gen 8GB RAM 512GB SSD DOS OS 15.6 inches Screen Grey Color 42V69PA ,https://www.amazon.in//HP-Business-Laptop-inches-42V69PA/dp/B0B3JJXY43/ref=sr_1_52?keywords=HP+Laptop&qid=1676017408&sr=8-52,"₹48,990",,,https://m.media-amazon.com/images/I/61tRGjyI7YS._AC_UY218_.jpg
"(Renewed) HP Chromebook C640 10th Gen Intel Core i5 Thin & Light FHD Laptop (8 GB DDR4 RAM/64 GB eMMC SSD/14"" (35.6 cm) FHD/Chrome OS/WiFi/Bluetooth/Webcam/Intel Graphics) ",https://www.amazon.in//Renewed-HP-Chromebook-Bluetooth-Graphics/dp/B0BS16RXQH/ref=sr_1_53?keywords=HP+Laptop&qid=1676017408&sr=8-53,"₹20,999",,,https://m.media-amazon.com/images/I/81rapyP7wAL._AC_UY218_.jpg
"(Renewed)HP Probookx360 11 G2 EE Multi-Touch 2-in-1 Laptop Intel Core i3,m3-7Y30 7th Generation Dual-Core Processor,Windows 10 Pro, 8GB Ram&256 GB SSD, 11.6""( 30 cm) Ultra Slim & Feather Light 1.45KG ",https://www.amazon.in//Renewed-HP-Probook-Multi-Touch-Laptop/dp/B0BH4FB9JK/ref=sr_1_54?keywords=HP+Laptop&qid=1676017408&sr=8-54,"₹23,990",4.6 out of 5 stars,3,https://m.media-amazon.com/images/I/41HjNEeVZEL._AC_UY218_.jpg
"HP Pavilion AMD Ryzen 7 5800H 15.6 inches(39.6cm) FHD Gaming Laptop (16GB/512GB SSD/Windows 11 Home/NVIDIA RTX 3050 Graphics/MS Office/ Shadow Black & Ultra Violet/1.98 Kg), 15-ec2146AX ",https://www.amazon.in//HP-Pavilion-Windows-Graphics-15-ec2146AX/dp/B09MF6F4GH/ref=sr_1_55?keywords=HP+Laptop&qid=1676017408&sr=8-55,"₹73,229",4.2 out of 5 stars,78,https://m.media-amazon.com/images/I/51DmOWr3rnL._AC_UY218_.jpg
"HP 245 G8 Laptop with AMD Athlon Silver 3050U APU/ 8GB Ram/ 1TB HDD/ Windows 11/AMD Radeon Vega 8 Mobile Graphics/35.6 cm HD (1366 x 768), SVA , Anti-Glare WLED/Black/1 Year Onsite Warranty ",https://www.amazon.in//HP-245-Graphics-Anti-Glare-Warranty/dp/B0BRV3F3MD/ref=sr_1_56?keywords=HP+Laptop&qid=1676017408&sr=8-56,"₹25,999",2.4 out of 5 stars,2,https://m.media-amazon.com/images/I/51hjXsx9vSL._AC_UY218_.jpg
"HP Pavilion Plus, 12th Gen Intel Core i7 16GB RAM/1TB SSD 14 inch(35.6 cm)Creator Laptop with OLED,UWVA,Eye Safe Laptop/Intel Iris Xe Graphics/Backlit KB/B&O/FPR/Win 11/Alexa Built-in/MSO,14-eh0024TU ",https://www.amazon.in//HP-Pavilion-Graphics-Backlit-14-eh0024TU/dp/B0B3J21ZVB/ref=sr_1_57?keywords=HP+Laptop&qid=1676017408&sr=8-57,"₹94,490",4.0 out of 5 stars,110,https://m.media-amazon.com/images/I/81UcQBI0YrL._AC_UY218_.jpg
